well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
I1,1276,CD81,300,5.0,85,14,0,0.0,0.1,3,no_lipo,2,4,0,8
D8,1277,CD81,346,2.5,85,14,0,0.0,0.1,3,no_lipo,2,4,7,3
I23,1278,CD81,347,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,22,8
M19,1279,CD81,348,2.5,185,20,0,0.0,0.1,3,no_lipo,2,4,18,12
P14,1280,CRCM,109,5.0,85,8,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,13,15
F11,1281,CRCM,110,5.0,85,8,0,0.0,8.0,3,DMPC--0%PE--0%Chol,2,4,10,5
D11,1282,CRCM,111,5.0,85,17,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,10,3
H8,1283,CRCM,112,5.0,185,8,0,0.0,4.0,3,DMPC--0%PE--0%Chol,2,4,7,7
O24,1284,CRCM,113,5.0,185,8,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,23,14
H19,1285,CRCM,230,2.5,85,8,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,18,7
A23,1286,CRCM,231,2.5,85,17,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,22,0
J6,1287,CRCM,232,2.5,185,8,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,5,9
F22,1288,CRCM,233,2.5,185,14,0,0.625,4.0,3,DMPC--0%PE--0%Chol,2,4,21,5
H2,1289,CRCM,234,2.5,185,17,0,1.25,8.0,3,DMPC--0%PE--0%Chol,2,4,1,7
P9,1290,CRCM,364,2.5,85,14,0,0.625,0.1,3,DOPC--0%PE--8%Chol,2,4,8,15
O2,1291,CRCM,365,2.5,85,14,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,4,1,14
D2,1292,CRCM,366,2.5,135,20,0,1.25,0.1,3,DOPC--0%PE--8%Chol,2,4,1,3
L6,1293,CRCM,367,2.5,185,14,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,4,5,11
A16,1294,CRCM,368,2.5,235,14,0,0.625,0.1,3,DOPC--0%PE--8%Chol,2,4,15,0
K9,1295,CRCM,369,2.5,235,20,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,4,8,10
P5,1296,CRCM,109,5.0,85,8,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,4,15
I21,1297,CRCM,110,5.0,85,8,0,0.0,8.0,3,DMPC--0%PE--0%Chol,2,4,20,8
G10,1298,CRCM,111,5.0,85,17,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,9,6
A13,1299,CRCM,112,5.0,185,8,0,0.0,4.0,3,DMPC--0%PE--0%Chol,2,4,12,0
J2,1300,CRCM,113,5.0,185,8,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,1,9
I3,1301,CRCM,230,2.5,85,8,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,2,8
B2,1302,CRCM,231,2.5,85,17,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,1,1
B20,1303,CRCM,232,2.5,185,8,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,19,1
H21,1304,CRCM,233,2.5,185,14,0,0.625,4.0,3,DMPC--0%PE--0%Chol,2,4,20,7
E13,1305,CRCM,234,2.5,185,17,0,1.25,8.0,3,DMPC--0%PE--0%Chol,2,4,12,4
O16,1306,CRCM,364,2.5,85,14,0,0.625,0.1,3,DOPC--0%PE--8%Chol,2,4,15,14
N9,1307,CRCM,365,2.5,85,14,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,4,8,13
E17,1308,CRCM,366,2.5,135,20,0,1.25,0.1,3,DOPC--0%PE--8%Chol,2,4,16,4
O3,1309,CRCM,367,2.5,185,14,0,0.625,0.1,3,DMPC--0%PE--8%Chol,2,4,2,14
N22,1310,CRCM,368,2.5,235,14,0,0.625,0.1,3,DOPC--0%PE--8%Chol,2,4,21,13
K11,1311,CRCM,369,2.5,235,20,0,1.25,0.1,3,DMPC--0%PE--8%Chol,2,4,10,10
H3,1312,CRCM,109,5.0,85,8,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,2,7
D21,1313,CRCM,110,5.0,85,8,0,0.0,8.0,3,DMPC--0%PE--0%Chol,2,4,20,3
I4,1314,CRCM,111,5.0,85,17,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,3,8
