well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
J17,210,30,AqpZ,5.0,DOPC,3,14,0.0,185,1,0,4,0,1,16,9
G13,211,31,AqpZ,5.0,DOPC,3,8,0.0,185,2,0,4,0,1,12,6
A10,212,32,AqpZ,5.0,DMPC,3,14,0.0,85,1,0,4,0,1,9,0
E15,213,33,AqpZ,5.0,DOPC,3,14,0.0,85,1,0,4,0,1,14,4
A18,214,34,AqpZ,5.0,DOPC,3,8,0.0,85,1,0,4,0,1,17,0
N16,215,35,AqpZ,5.0,DMPC,3,14,0.0,135,0,0,4,0,1,15,13
B10,216,36,Cat,5.0,DOPC,3,8,0.0,85,2,0,4,0,1,9,1
M10,217,37,Cat,5.0,DMPC,3,8,0.0,85,2,0,4,0,1,9,12
P18,218,38,Cat,5.0,DOPC,3,20,0.0,185,2,0,4,0,1,17,15
D4,219,39,Cat,5.0,DMPC,3,20,0.0,185,2,0,4,0,1,3,3
C10,220,40,Cat,2.5,DMPC,3,20,0.0,185,0,0,4,0,1,9,2
N4,221,41,Cat,2.5,DOPC,3,8,0.0,85,0,0,4,0,1,3,13
E13,222,42,Cat,2.5,DMPC,3,8,0.0,85,0,0,4,0,1,12,4
E5,223,43,Cat,2.5,DOPC,3,20,0.0,185,0,0,4,0,1,4,4
P5,224,44,Cat,2.5,DMPC,3,20,0.0,185,0,0,4,0,1,4,15
B9,225,45,Blank,0.0,DOPC,3,8,0.0,85,0,0,4,0,1,8,1
L3,226,46,Blank,0.0,DMPC,3,8,0.0,85,0,0,4,0,1,2,11
D5,227,47,Blank,0.0,DOPC,3,20,0.0,185,2,0,4,0,1,4,3
M16,228,48,Blank,0.0,DMPC,3,20,0.0,185,2,0,4,0,1,15,12
N8,229,49,CD63,5.0,no_lipo,3,20,0.0,185,1,0,4,0,1,7,13
