well_name,DNA_name,DNA_conc,Ffh,FtsY,Liposome_name,Liposome_conc,SecYE,combo,Mg,K
F21,MtlA,5.0,0.3,0.0,DOPC,3.0,0.5,with SecYE,15,85
F22,MtlA,5.0,0.0,0.3,DOPC,3.0,0.5,with SecYE,15,85
F23,MtlA,5.0,0.0,0.6,DOPC,3.0,0.0,with SecYE,15,85
F24,Neu,5.0,0.6,0.0,no_lipo,0.0,0.0,with SecYE,15,85
F3,MtlA,5.0,0.3,0.6,DOPC,3.0,1.0,with SecYE,15,85
F4,Neu,5.0,0.3,0.0,DOPC,3.0,0.5,with SecYE,15,85
F5,Neu,5.0,0.6,0.6,DOPC,3.0,1.0,with SecYE,15,85
F6,MtlA,5.0,0.0,0.0,DOPC,3.0,1.0,with SecYE,15,85
F7,MtlA,5.0,0.3,0.0,DOPC,3.0,0.5,with SecYE,15,85
F8,SecYE-G,5.0,0.0,0.3,DOPC,3.0,0.0,No SecYE,15,85
F9,SecYE-G,5.0,0.3,0.6,DOPC,3.0,0.0,No SecYE,15,85
G1,Neu,5.0,0.0,0.0,DOPC,3.0,1.0,with SecYE,15,85
G10,SecYE-G,5.0,0.0,0.6,no_lipo,0.0,0.0,No SecYE,15,85
G11,Neu,5.0,0.3,0.3,no_lipo,0.0,0.5,with SecYE,15,85
G12,MtlA,5.0,0.0,0.3,DOPC,3.0,1.0,with SecYE,15,85
G13,Neu,5.0,0.0,0.3,no_lipo,0.0,1.0,with SecYE,15,85
G14,MtlA,5.0,0.3,0.0,DOPC,3.0,0.5,with SecYE,15,85
G15,MtlA,5.0,0.0,0.3,DOPC,3.0,0.0,with SecYE,15,85
G16,Neu,5.0,0.3,0.0,DOPC,3.0,0.0,with SecYE,15,85
G17,MtlA,5.0,0.3,0.3,DOPC,3.0,1.0,with SecYE,15,85
G18,Neu,5.0,0.3,0.0,no_lipo,0.0,0.5,with SecYE,15,85
G19,MtlA,5.0,0.6,0.0,DOPC,3.0,0.0,with SecYE,15,85
G2,MtlA,5.0,0.3,0.6,no_lipo,0.0,1.0,with SecYE,15,85
G20,Neu,5.0,0.6,0.6,DOPC,3.0,1.0,with SecYE,15,85
G21,Neu,5.0,0.3,0.6,DOPC,3.0,1.0,with SecYE,15,85
G22,SecYE-G,5.0,0.6,0.0,no_lipo,0.0,0.0,No SecYE,15,85
G23,Neu,5.0,0.0,0.6,DOPC,3.0,1.0,with SecYE,15,85
G24,SecYE-G,5.0,0.6,0.6,no_lipo,0.0,0.0,No SecYE,15,85
G3,MtlA,5.0,0.6,0.3,no_lipo,0.0,1.0,with SecYE,15,85
G4,Neu,5.0,0.6,0.3,DOPC,3.0,0.5,with SecYE,15,85
G5,Neu,5.0,0.3,0.6,no_lipo,0.0,1.0,with SecYE,15,85
G6,Neu,5.0,0.6,0.3,no_lipo,0.0,0.0,with SecYE,15,85
G7,MtlA,5.0,0.3,0.6,DOPC,3.0,1.0,with SecYE,15,85
G8,Neu,5.0,0.0,0.6,DOPC,3.0,0.5,with SecYE,15,85
G9,SecYE-G,5.0,0.6,0.3,no_lipo,0.0,0.0,No SecYE,15,85
H1,SecYE-G,5.0,0.6,0.0,DOPC,3.0,0.0,No SecYE,15,85
H10,MtlA,5.0,0.3,0.3,DOPC,3.0,0.5,with SecYE,15,85
H11,Neu,5.0,0.0,0.0,DOPC,3.0,0.5,with SecYE,15,85
H12,Neu,5.0,0.0,0.3,no_lipo,0.0,0.0,with SecYE,15,85
H13,MtlA,5.0,0.6,0.6,no_lipo,0.0,0.5,with SecYE,15,85
H14,MtlA,5.0,0.3,0.3,DOPC,3.0,0.0,with SecYE,15,85
H15,Neu,5.0,0.0,0.0,DOPC,3.0,0.5,with SecYE,15,85
H16,MtlA,5.0,0.3,0.0,no_lipo,0.0,0.5,with SecYE,15,85
H17,Neu,5.0,0.3,0.3,DOPC,3.0,0.5,with SecYE,15,85
H18,MtlA,5.0,0.6,0.6,DOPC,3.0,1.0,with SecYE,15,85
H19,MtlA,5.0,0.0,0.0,no_lipo,0.0,0.5,with SecYE,15,85
H2,Neu,5.0,0.3,0.0,DOPC,3.0,1.0,with SecYE,15,85
H20,MtlA,5.0,0.0,0.6,DOPC,3.0,1.0,with SecYE,15,85
H21,Neu,5.0,0.3,0.0,DOPC,3.0,0.5,with SecYE,15,85
H22,MtlA,5.0,0.0,0.3,DOPC,3.0,1.0,with SecYE,15,85
H23,Neu,5.0,0.3,0.3,DOPC,3.0,1.0,with SecYE,15,85
H24,SecYE-G,5.0,0.6,0.0,DOPC,3.0,0.0,No SecYE,15,85
H3,MtlA,5.0,0.0,0.6,no_lipo,0.0,0.0,with SecYE,15,85
H4,MtlA,5.0,0.6,0.6,DOPC,3.0,0.5,with SecYE,15,85
H5,SecYE-G,5.0,0.0,0.6,no_lipo,0.0,0.0,No SecYE,15,85
H6,Neu,5.0,0.3,0.6,DOPC,3.0,0.5,with SecYE,15,85
