well_name,DNA_name,DNA_conc,Ffh,FtsY,Liposome_name,Liposome_conc,SecYE,combo,Mg,K
E10,MtlA,5.0,0.6,0.0,DOPC,3.0,0.5,Experiment,15,85
E11,AqpZ,5.0,0.6,1.5,no_lipo,0.0,1.0,Experiment,15,85
E12,AqpZ,5.0,0.0,0.0,no_lipo,0.0,0.5,Experiment,15,85
E13,AqpZ,5.0,0.0,0.6,no_lipo,0.0,0.5,Experiment,15,85
E14,AqpZ,5.0,0.0,1.5,DOPC,3.0,0.5,Experiment,15,85
E15,MtlA,5.0,0.0,0.6,no_lipo,0.0,1.0,Experiment,15,85
E16,AqpZ,5.0,0.6,0.0,DOPC,3.0,1.0,Experiment,15,85
E17,MtlA,5.0,1.5,0.6,DOPC,3.0,1.0,Experiment,15,85
E18,MtlA,5.0,0.0,1.5,no_lipo,0.0,0.5,Experiment,15,85
E19,MtlA,5.0,0.6,0.6,no_lipo,0.0,0.5,Experiment,15,85
E2,AqpZ,5.0,1.5,0.0,DOPC,3.0,0.0,Experiment,15,85
E20,AqpZ,5.0,0.0,0.6,no_lipo,0.0,1.0,Experiment,15,85
E3,MtlA,5.0,1.5,1.5,DOPC,3.0,0.0,Experiment,15,85
E4,AqpZ,5.0,1.5,0.0,no_lipo,0.0,0.5,Experiment,15,85
E5,AqpZ,5.0,1.5,0.0,no_lipo,0.0,0.0,Experiment,15,85
E6,AqpZ,5.0,0.0,0.6,no_lipo,0.0,0.5,Experiment,15,85
E7,MtlA,5.0,0.6,0.0,DOPC,3.0,0.0,Experiment,15,85
E8,AqpZ,5.0,0.6,0.0,no_lipo,0.0,1.0,Experiment,15,85
E9,MtlA,5.0,0.0,0.0,no_lipo,0.0,0.0,Experiment,15,85
F1,AqpZ,5.0,0.0,0.0,no_lipo,0.0,0.5,Experiment,15,85
F10,AqpZ,5.0,1.5,0.6,DOPC,3.0,0.5,Experiment,15,85
F11,MtlA,5.0,1.5,1.5,no_lipo,0.0,1.0,Experiment,15,85
F12,MtlA,5.0,1.5,0.0,no_lipo,0.0,0.5,Experiment,15,85
F13,AqpZ,5.0,0.0,0.6,DOPC,3.0,0.0,Experiment,15,85
F14,MtlA,5.0,0.0,0.6,DOPC,3.0,0.0,Experiment,15,85
F15,MtlA,5.0,0.6,0.6,DOPC,3.0,1.0,Experiment,15,85
F16,AqpZ,5.0,1.5,0.0,no_lipo,0.0,1.0,Experiment,15,85
F17,MtlA,5.0,1.5,0.0,no_lipo,0.0,1.0,Experiment,15,85
F18,MtlA,5.0,0.6,0.6,DOPC,3.0,1.0,Experiment,15,85
F19,MtlA,5.0,0.6,0.6,no_lipo,0.0,0.5,Experiment,15,85
F2,AqpZ,5.0,0.6,1.5,DOPC,3.0,0.5,Experiment,15,85
F20,AqpZ,5.0,0.0,1.5,no_lipo,0.0,1.0,Experiment,15,85
F3,MtlA,5.0,1.5,0.6,DOPC,3.0,0.5,Experiment,15,85
F4,AqpZ,5.0,0.6,0.0,no_lipo,0.0,0.0,Experiment,15,85
F5,AqpZ,5.0,0.0,0.6,DOPC,3.0,0.5,Experiment,15,85
F6,AqpZ,5.0,0.0,1.5,DOPC,3.0,0.5,Experiment,15,85
F7,AqpZ,5.0,0.0,1.5,DOPC,3.0,0.0,Experiment,15,85
F8,AqpZ,5.0,1.5,0.0,no_lipo,0.0,1.0,Experiment,15,85
F9,MtlA,5.0,0.0,0.0,DOPC,3.0,0.0,Experiment,15,85
G1,AqpZ,5.0,1.5,0.0,DOPC,3.0,0.5,Experiment,15,85
G10,MtlA,5.0,0.0,0.6,no_lipo,0.0,1.0,Experiment,15,85
G11,AqpZ,5.0,0.0,0.6,no_lipo,0.0,0.5,Experiment,15,85
G12,AqpZ,5.0,0.6,0.0,no_lipo,0.0,0.0,Experiment,15,85
G13,AqpZ,5.0,1.5,1.5,no_lipo,0.0,0.0,Experiment,15,85
G14,MtlA,5.0,0.6,1.5,no_lipo,0.0,1.0,Experiment,15,85
G15,AqpZ,5.0,0.0,0.0,no_lipo,0.0,1.0,Experiment,15,85
G16,AqpZ,5.0,0.6,0.0,no_lipo,0.0,1.0,Experiment,15,85
G17,MtlA,5.0,0.0,0.6,DOPC,3.0,0.5,Experiment,15,85
G18,AqpZ,5.0,0.6,0.6,DOPC,3.0,0.0,Experiment,15,85
G19,AqpZ,5.0,0.6,1.5,no_lipo,0.0,0.5,Experiment,15,85
G2,AqpZ,5.0,0.6,1.5,DOPC,3.0,0.5,Experiment,15,85
G20,AqpZ,5.0,0.0,0.0,no_lipo,0.0,0.0,Experiment,15,85
G3,MtlA,5.0,0.6,0.6,DOPC,3.0,0.5,Experiment,15,85
G4,MtlA,5.0,1.5,0.6,DOPC,3.0,0.0,Experiment,15,85
G5,AqpZ,5.0,1.5,0.6,no_lipo,0.0,0.5,Experiment,15,85
G6,AqpZ,5.0,0.0,0.0,DOPC,3.0,1.0,Experiment,15,85
G7,AqpZ,5.0,0.6,0.0,DOPC,3.0,0.0,Experiment,15,85
G8,MtlA,5.0,0.0,1.5,no_lipo,0.0,1.0,Experiment,15,85
G9,MtlA,5.0,0.6,0.0,no_lipo,0.0,0.0,Experiment,15,85
H1,MtlA,5.0,1.5,0.6,DOPC,3.0,0.5,Experiment,15,85
H10,MtlA,5.0,1.5,1.5,DOPC,3.0,0.0,Experiment,15,85
H11,AqpZ,5.0,0.0,0.6,DOPC,3.0,0.0,Experiment,15,85
H12,AqpZ,5.0,0.6,0.6,DOPC,3.0,0.5,Experiment,15,85
H13,AqpZ,5.0,1.5,1.5,DOPC,3.0,1.0,Experiment,15,85
H14,AqpZ,5.0,1.5,0.6,DOPC,3.0,1.0,Experiment,15,85
H15,AqpZ,5.0,1.5,0.6,DOPC,3.0,0.0,Experiment,15,85
H16,MtlA,5.0,0.0,0.6,DOPC,3.0,0.0,Experiment,15,85
H17,AqpZ,5.0,0.0,0.0,DOPC,3.0,0.5,Experiment,15,85
H18,AqpZ,5.0,1.5,0.0,no_lipo,0.0,0.5,Experiment,15,85
H19,AqpZ,5.0,0.6,1.5,no_lipo,0.0,1.0,Experiment,15,85
H2,AqpZ,5.0,0.0,0.6,DOPC,3.0,1.0,Experiment,15,85
