well_name,deGFP,K,Mg,combo
N3,5.0,110.0,20.0,Ind-30
N5,2.5,110.0,15.0,Ind-37
N5,2.5,110.0,15.0,Ind-37
N5,2.5,110.0,15.0,Ind-37
N5,2.5,110.0,15.0,Ind-37
N6,2.5,85.0,20.0,Ind-37
N6,2.5,85.0,20.0,Ind-37
N6,2.5,85.0,20.0,Ind-37
N6,2.5,85.0,20.0,Ind-37
N7,5.0,110.0,20.0,Ind-37
N7,5.0,110.0,20.0,Ind-37
N7,5.0,110.0,20.0,Ind-37
N7,5.0,110.0,20.0,Ind-37
O1,2.5,135.0,25.0,Ind-30
O1,2.5,135.0,25.0,Ind-30
O1,2.5,135.0,25.0,Ind-30
O1,2.5,135.0,25.0,Ind-30
O2,5.0,85.0,20.0,Ind-30
O2,5.0,85.0,20.0,Ind-30
O2,5.0,85.0,20.0,Ind-30
O2,5.0,85.0,20.0,Ind-30
O3,2.5,110.0,15.0,Ind-30
O3,2.5,110.0,15.0,Ind-30
O3,2.5,110.0,15.0,Ind-30
O3,2.5,110.0,15.0,Ind-30
O5,2.5,135.0,25.0,Ind-37
O5,2.5,135.0,25.0,Ind-37
O5,2.5,135.0,25.0,Ind-37
O5,2.5,135.0,25.0,Ind-37
O6,5.0,85.0,20.0,Ind-37
O6,5.0,85.0,20.0,Ind-37
O6,5.0,85.0,20.0,Ind-37
O6,5.0,85.0,20.0,Ind-37
O7,2.5,110.0,15.0,Ind-37
O7,2.5,110.0,15.0,Ind-37
O7,2.5,110.0,15.0,Ind-37
O7,2.5,110.0,15.0,Ind-37
P1,5.0,110.0,15.0,Ind-30
P1,5.0,110.0,15.0,Ind-30
P1,5.0,110.0,15.0,Ind-30
P1,5.0,110.0,15.0,Ind-30
P2,2.5,85.0,15.0,Ind-30
P2,2.5,85.0,15.0,Ind-30
P2,2.5,85.0,15.0,Ind-30
P2,2.5,85.0,15.0,Ind-30
P3,5.0,85.0,20.0,Ind-30
P3,5.0,85.0,20.0,Ind-30
P3,5.0,85.0,20.0,Ind-30
P3,5.0,85.0,20.0,Ind-30
P5,5.0,110.0,15.0,Ind-37
P5,5.0,110.0,15.0,Ind-37
P5,5.0,110.0,15.0,Ind-37
P5,5.0,110.0,15.0,Ind-37
P6,2.5,85.0,15.0,Ind-37
P6,2.5,85.0,15.0,Ind-37
P6,2.5,85.0,15.0,Ind-37
P6,2.5,85.0,15.0,Ind-37
P7,5.0,85.0,20.0,Ind-37
P7,5.0,85.0,20.0,Ind-37
P7,5.0,85.0,20.0,Ind-37
P7,5.0,85.0,20.0,Ind-37
