well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,combo,K
O21,B2AR,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
O22,Glut,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
O23,Mito,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
O3,Neu,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
O4,AqpZ,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
O5,Mito,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
O6,AqpZ,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
O7,Neu,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
O8,Neu,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
O9,Blank,0.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
P1,Blank,0.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
P10,Glut,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
P11,B2AR,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
P12,Mito,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
P13,Glut,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
P14,Neu,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
P15,Mito,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
P16,Neu,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
P17,Blank,0.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
P18,Glut,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
P19,Neu,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
P2,MtlA,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
P20,AqpZ,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
P21,MtlA,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
P22,AqpZ,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
P23,B2AR,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
P3,Glut,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
P4,Blank,0.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
P5,B2AR,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
P6,Neu,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
P7,Neu,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
P8,Neu,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
P9,Blank,0.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
