well_name,unique_id,DNA_name,rxn_id,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,day,plate,col,row
K8,240,MscL,108,8,0.0,135,1,no_lipo,5,3,1,1,7,10
A7,241,MscL,109,8,0.0,185,2,no_lipo,5,3,1,1,6,0
K7,242,MscL,110,8,0.0,185,2,no_lipo,5,3,1,1,6,10
O12,243,MscL,111,14,0.0,85,0,no_lipo,5,3,1,1,11,14
F21,244,MscL,112,14,0.0,135,0,no_lipo,5,3,1,1,20,5
E6,245,MscL,113,14,0.0,135,0,no_lipo,5,3,1,1,5,4
K22,246,MscL,114,14,0.0,185,1,no_lipo,5,3,1,1,21,10
G13,247,MscL,115,14,0.0,185,2,no_lipo,5,3,1,1,12,6
A10,248,MscL,116,14,0.0,185,2,no_lipo,5,3,1,1,9,0
H17,249,MscL,117,14,1.25,185,2,no_lipo,5,3,1,1,16,7
E19,250,MscL,118,20,0.0,185,0,no_lipo,5,3,1,1,18,4
K24,251,MscL,119,20,1.25,135,2,no_lipo,5,3,1,1,23,10
B10,252,MscL,108,8,0.0,135,1,no_lipo,5,3,1,1,9,1
M10,253,MscL,109,8,0.0,185,2,no_lipo,5,3,1,1,9,12
D20,254,MscL,110,8,0.0,185,2,no_lipo,5,3,1,1,19,3
D4,255,MscL,111,14,0.0,85,0,no_lipo,5,3,1,1,3,3
C10,256,MscL,112,14,0.0,135,0,no_lipo,5,3,1,1,9,2
N4,257,MscL,113,14,0.0,135,0,no_lipo,5,3,1,1,3,13
E13,258,MscL,114,14,0.0,185,1,no_lipo,5,3,1,1,12,4
E5,259,MscL,115,14,0.0,185,2,no_lipo,5,3,1,1,4,4
P5,260,MscL,116,14,0.0,185,2,no_lipo,5,3,1,1,4,15
B9,261,MscL,117,14,1.25,185,2,no_lipo,5,3,1,1,8,1
D5,262,MscL,118,20,0.0,185,0,no_lipo,5,3,1,1,4,3
A18,263,MscL,119,20,1.25,135,2,no_lipo,5,3,1,1,17,0
N8,264,MscL,108,8,0.0,135,1,no_lipo,5,3,1,1,7,13
E24,265,MscL,109,8,0.0,185,2,no_lipo,5,3,1,1,23,4
G11,266,MscL,110,8,0.0,185,2,no_lipo,5,3,1,1,10,6
B7,267,MscL,111,14,0.0,85,0,no_lipo,5,3,1,1,6,1
L14,268,MscL,112,14,0.0,135,0,no_lipo,5,3,1,1,13,11
P23,269,MscL,113,14,0.0,135,0,no_lipo,5,3,1,1,22,15
E12,270,MscL,114,14,0.0,185,1,no_lipo,5,3,1,1,11,4
N16,271,MscL,115,14,0.0,185,2,no_lipo,5,3,1,1,15,13
E4,272,MscL,116,14,0.0,185,2,no_lipo,5,3,1,1,3,4
O23,273,MscL,117,14,1.25,185,2,no_lipo,5,3,1,1,22,14
O9,274,MscL,118,20,0.0,185,0,no_lipo,5,3,1,1,8,14
I12,275,MscL,119,20,1.25,135,2,no_lipo,5,3,1,1,11,8
F19,276,MscL,108,8,0.0,135,1,no_lipo,5,3,1,1,18,5
N5,277,MscL,109,8,0.0,185,2,no_lipo,5,3,1,1,4,13
C6,278,MscL,110,8,0.0,185,2,no_lipo,5,3,1,1,5,2
I23,279,MscL,111,14,0.0,85,0,no_lipo,5,3,1,1,22,8
J14,280,MscL,112,14,0.0,135,0,no_lipo,5,3,1,1,13,9
A24,281,MscL,113,14,0.0,135,0,no_lipo,5,3,1,1,23,0
L2,282,MscL,114,14,0.0,185,1,no_lipo,5,3,1,1,1,11
D21,283,MscL,115,14,0.0,185,2,no_lipo,5,3,1,1,20,3
H13,284,MscL,116,14,0.0,185,2,no_lipo,5,3,1,1,12,7
O6,285,MscL,117,14,1.25,185,2,no_lipo,5,3,1,1,5,14
O16,286,MscL,118,20,0.0,185,0,no_lipo,5,3,1,1,15,14
L15,287,MscL,119,20,1.25,135,2,no_lipo,5,3,1,1,14,11
H2,288,AqpZ,0,8,0.0,85,0,DMPC,5,3,1,1,1,7
F2,289,AqpZ,1,8,0.0,85,1,DOPC,5,3,1,1,1,5
F10,290,AqpZ,2,8,0.0,135,0,DMPC,5,3,1,1,9,5
N18,291,AqpZ,3,8,0.0,135,0,DOPC,5,3,1,1,17,13
G22,292,AqpZ,4,8,0.0,135,1,DMPC,5,3,1,1,21,6
D9,293,AqpZ,5,8,0.0,185,1,DMPC,5,3,1,1,8,3
O3,294,AqpZ,6,14,0.0,85,0,DMPC,5,3,1,1,2,14
C15,295,AqpZ,7,14,0.0,85,0,DOPC,5,3,1,1,14,2
P13,296,AqpZ,8,14,0.0,85,1,DOPC,5,3,1,1,12,15
D11,297,AqpZ,9,14,0.0,135,0,DMPC,5,3,1,1,10,3
E16,298,AqpZ,10,20,0.0,85,0,DOPC,5,3,1,1,15,4
H5,299,AqpZ,11,20,0.0,85,1,DOPC,5,3,1,1,4,7
O20,300,AqpZ,0,8,0.0,85,0,DMPC,5,3,1,1,19,14
E21,301,AqpZ,1,8,0.0,85,1,DOPC,5,3,1,1,20,4
G17,302,AqpZ,2,8,0.0,135,0,DMPC,5,3,1,1,16,6
I8,303,AqpZ,3,8,0.0,135,0,DOPC,5,3,1,1,7,8
B20,304,AqpZ,4,8,0.0,135,1,DMPC,5,3,1,1,19,1
F13,305,AqpZ,5,8,0.0,185,1,DMPC,5,3,1,1,12,5
K16,306,AqpZ,6,14,0.0,85,0,DMPC,5,3,1,1,15,10
O1,307,AqpZ,7,14,0.0,85,0,DOPC,5,3,1,1,0,14
P19,308,AqpZ,8,14,0.0,85,1,DOPC,5,3,1,1,18,15
D1,309,AqpZ,9,14,0.0,135,0,DMPC,5,3,1,1,0,3
M2,310,AqpZ,10,20,0.0,85,0,DOPC,5,3,1,1,1,12
B8,311,AqpZ,11,20,0.0,85,1,DOPC,5,3,1,1,7,1
M6,312,AqpZ,0,8,0.0,85,0,DMPC,5,3,1,1,5,12
P24,313,AqpZ,1,8,0.0,85,1,DOPC,5,3,1,1,23,15
K4,314,AqpZ,2,8,0.0,135,0,DMPC,5,3,1,1,3,10
N11,315,AqpZ,3,8,0.0,135,0,DOPC,5,3,1,1,10,13
J9,316,AqpZ,4,8,0.0,135,1,DMPC,5,3,1,1,8,9
G14,317,AqpZ,5,8,0.0,185,1,DMPC,5,3,1,1,13,6
F15,318,AqpZ,6,14,0.0,85,0,DMPC,5,3,1,1,14,5
P3,319,AqpZ,7,14,0.0,85,0,DOPC,5,3,1,1,2,15
O11,320,AqpZ,8,14,0.0,85,1,DOPC,5,3,1,1,10,14
K18,321,AqpZ,9,14,0.0,135,0,DMPC,5,3,1,1,17,10
O22,322,AqpZ,10,20,0.0,85,0,DOPC,5,3,1,1,21,14
E18,323,AqpZ,11,20,0.0,85,1,DOPC,5,3,1,1,17,4
C22,324,AqpZ,0,8,0.0,85,0,DMPC,5,3,1,1,21,2
K1,325,AqpZ,1,8,0.0,85,1,DOPC,5,3,1,1,0,10
O2,326,AqpZ,2,8,0.0,135,0,DMPC,5,3,1,1,1,14
G23,327,AqpZ,3,8,0.0,135,0,DOPC,5,3,1,1,22,6
P12,328,AqpZ,4,8,0.0,135,1,DMPC,5,3,1,1,11,15
M22,329,AqpZ,5,8,0.0,185,1,DMPC,5,3,1,1,21,12
I10,330,AqpZ,6,14,0.0,85,0,DMPC,5,3,1,1,9,8
L13,331,AqpZ,7,14,0.0,85,0,DOPC,5,3,1,1,12,11
I16,332,AqpZ,8,14,0.0,85,1,DOPC,5,3,1,1,15,8
B18,333,AqpZ,9,14,0.0,135,0,DMPC,5,3,1,1,17,1
M9,334,AqpZ,10,20,0.0,85,0,DOPC,5,3,1,1,8,12
E8,335,AqpZ,11,20,0.0,85,1,DOPC,5,3,1,1,7,4
A1,336,AqpZ,0,8,0.0,85,0,no_lipo,5,3,1,1,0,0
M19,337,AqpZ,1,8,0.0,85,1,no_lipo,5,3,1,1,18,12
B23,338,AqpZ,2,8,0.0,135,0,no_lipo,5,3,1,1,22,1
H21,339,AqpZ,3,8,0.0,135,0,no_lipo,5,3,1,1,20,7
J21,340,AqpZ,4,8,0.0,135,1,no_lipo,5,3,1,1,20,9
O15,341,AqpZ,5,8,0.0,185,1,no_lipo,5,3,1,1,14,14
