well_name,unique_id,rxn_id,DNA_name,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,plate,row,col
L9,479,216,Mito,8,0.625,185,0,no_lipo,5,0,2,11,8
H19,481,218,Mito,14,0.0,135,0,no_lipo,5,0,2,7,18
N21,483,220,Mol,8,0.0,185,0,no_lipo,5,0,2,13,20
I10,484,221,Mol,8,0.0,85,0,no_lipo,5,0,2,8,9
K19,488,225,Mol,14,0.0,135,0,no_lipo,5,0,2,10,18
K3,489,226,Mol,8,0.625,85,0,no_lipo,5,0,2,10,2
J2,490,227,Mol,14,0.0,185,0,no_lipo,5,0,2,9,1
A18,500,237,MtlA,8,0.0,85,2,no_lipo,5,0,2,0,17
F21,501,238,MtlA,20,0.0,85,2,no_lipo,5,0,2,5,20
L16,502,239,MtlA,8,0.0,135,2,no_lipo,5,0,2,11,15
I15,503,240,MtlA,14,0.0,85,2,no_lipo,5,0,2,8,14
E3,504,241,MtlA,8,0.0,85,1,no_lipo,5,0,2,4,2
K13,506,243,MtlA,20,0.625,85,2,no_lipo,5,0,2,10,12
G16,544,18,B2AR,8,0.0,185,0,DOPC,5,3,2,6,15
D19,545,19,B2AR,8,0.625,185,0,DOPC,5,3,2,3,18
F13,549,23,B2AR,8,0.625,135,0,DOPC,5,3,2,5,12
A4,550,24,B2AR,20,0.0,185,0,DOPC,5,3,2,0,3
H13,563,37,CD47,8,0.0,185,0,DOPC,5,3,2,7,12
B21,565,39,CD47,14,0.0,185,0,DOPC,5,3,2,1,20
C6,566,40,CD47,8,0.625,185,0,DMPC,5,3,2,2,5
L14,572,46,CaM,8,0.0,135,0,DMPC,5,3,2,11,13
I2,573,47,CaM,14,0.0,185,2,DMPC,5,3,2,8,1
I1,576,50,CaM,8,0.0,185,0,DOPC,5,3,2,8,0
K15,577,51,CaM,8,0.0,135,1,DMPC,5,3,2,10,14
D4,578,52,CaM,14,0.0,185,0,DOPC,5,3,2,3,3
G11,589,63,Glut,20,0.0,135,2,DOPC,5,3,2,6,10
O7,595,69,Glut,14,0.625,185,0,DMPC,5,3,2,14,6
C3,598,72,InP,8,0.0,85,0,DMPC,5,3,2,2,2
L4,600,74,InP,8,0.625,85,0,DMPC,5,3,2,11,3
O18,601,75,InP,14,0.0,85,0,DMPC,5,3,2,14,17
P16,604,78,InP,14,0.0,85,1,DMPC,5,3,2,15,15
D5,606,80,InP,8,0.0,85,2,DMPC,5,3,2,3,4
B15,607,81,Mito,14,0.0,185,0,DOPC,5,3,2,1,14
F11,609,83,Mito,8,0.0,185,0,DOPC,5,3,2,5,10
L10,613,87,Mito,8,0.625,185,0,DOPC,5,3,2,11,9
E7,614,88,Mito,8,0.0,185,1,DOPC,5,3,2,4,6
C8,616,90,Mol,8,0.0,135,0,DOPC,5,3,2,2,7
A20,617,91,Mol,8,0.0,185,0,DOPC,5,3,2,0,19
G12,620,94,Mol,8,0.625,135,0,DOPC,5,3,2,6,11
B7,634,108,MtlA,8,0.0,85,2,DMPC,5,3,2,1,6
J19,638,112,MtlA,8,0.0,85,1,DMPC,5,3,2,9,18
N12,680,154,B2AR,14,0.0,185,0,no_lipo,5,0,2,13,11
F18,681,155,B2AR,8,0.0,135,0,no_lipo,5,0,2,5,17
I16,683,157,B2AR,8,0.625,135,0,no_lipo,5,0,2,8,15
E14,685,159,B2AR,8,0.0,85,0,no_lipo,5,0,2,4,13
D1,696,170,CD47,8,0.0,135,0,no_lipo,5,0,2,3,0
H6,697,171,CD47,14,0.0,185,0,no_lipo,5,0,2,7,5
O21,700,174,CD47,8,0.0,185,1,no_lipo,5,0,2,14,20
B4,702,176,CaM,8,0.0,185,0,no_lipo,5,0,2,1,3
F16,703,177,CaM,8,0.0,135,0,no_lipo,5,0,2,5,15
D21,704,178,CaM,14,0.0,185,2,no_lipo,5,0,2,3,20
G21,707,181,CaM,8,0.0,135,1,no_lipo,5,0,2,6,20
P14,708,182,CaM,14,0.0,185,0,no_lipo,5,0,2,15,13
O17,719,193,Glut,20,0.0,135,2,no_lipo,5,0,2,14,16
I4,722,196,Glut,8,0.0,135,2,no_lipo,5,0,2,8,3
P17,728,202,InP,8,0.0,85,1,no_lipo,5,0,2,15,16
B22,730,204,InP,14,0.0,85,0,no_lipo,5,0,2,1,21
N6,731,205,InP,8,0.0,135,1,no_lipo,5,0,2,13,5
L20,733,207,InP,14,0.0,85,1,no_lipo,5,0,2,11,19
B11,734,208,InP,8,0.625,85,1,no_lipo,5,0,2,1,10
L8,736,210,Mito,14,0.0,185,0,no_lipo,5,0,2,11,7
B2,740,214,Mito,14,0.625,185,0,no_lipo,5,0,2,1,1
K8,741,215,Mito,14,0.0,185,1,no_lipo,5,0,2,10,7
I19,742,216,Mito,8,0.625,185,0,no_lipo,5,0,2,8,18
O19,744,218,Mito,14,0.0,135,0,no_lipo,5,0,2,14,18
A6,746,220,Mol,8,0.0,185,0,no_lipo,5,0,2,0,5
G1,747,221,Mol,8,0.0,85,0,no_lipo,5,0,2,6,0
C18,748,222,Mol,8,0.625,185,0,no_lipo,5,0,2,2,17
A16,752,226,Mol,8,0.625,85,0,no_lipo,5,0,2,0,15
M3,753,227,Mol,14,0.0,185,0,no_lipo,5,0,2,12,2
L11,767,241,MtlA,8,0.0,85,1,no_lipo,5,0,2,11,10
M19,769,243,MtlA,20,0.625,85,2,no_lipo,5,0,2,12,18
B5,808,19,B2AR,8,0.625,185,0,DOPC,5,3,2,1,4
D3,809,20,B2AR,14,0.0,185,0,DOPC,5,3,2,3,2
C17,810,21,B2AR,8,0.0,135,0,DOPC,5,3,2,2,16
K4,813,24,B2AR,20,0.0,185,0,DOPC,5,3,2,10,3
L17,814,25,B2AR,8,0.0,85,0,DMPC,5,3,2,11,16
H10,828,39,CD47,14,0.0,185,0,DOPC,5,3,2,7,9
J1,829,40,CD47,8,0.625,185,0,DMPC,5,3,2,9,0
J4,831,42,CD47,8,0.625,135,0,DMPC,5,3,2,9,3
F6,832,43,CD47,8,0.0,185,1,DMPC,5,3,2,5,5
E20,833,44,CD47,20,0.0,185,0,DOPC,5,3,2,4,19
E15,834,45,CaM,8,0.0,185,0,DMPC,5,3,2,4,14
H20,835,46,CaM,8,0.0,135,0,DMPC,5,3,2,7,19
N2,837,48,CaM,8,0.625,185,0,DMPC,5,3,2,13,1
F19,839,50,CaM,8,0.0,185,0,DOPC,5,3,2,5,18
D17,840,51,CaM,8,0.0,135,1,DMPC,5,3,2,3,16
J8,841,52,CaM,14,0.0,185,0,DOPC,5,3,2,9,7
D11,842,53,CaM,8,0.0,185,1,DMPC,5,3,2,3,10
C7,854,65,Glut,8,0.0,185,0,DOPC,5,3,2,2,6
C12,855,66,Glut,8,0.0,135,2,DOPC,5,3,2,2,11
A8,857,68,Glut,20,0.625,185,2,DMPC,5,3,2,0,7
A17,858,69,Glut,14,0.625,185,0,DMPC,5,3,2,0,16
O2,859,70,Glut,8,0.0,185,0,DMPC,5,3,2,14,1
F4,862,73,InP,8,0.0,85,1,DMPC,5,3,2,5,3
E22,864,75,InP,14,0.0,85,0,DMPC,5,3,2,4,21
C9,865,76,InP,8,0.0,135,1,DMPC,5,3,2,2,8
H3,867,78,InP,14,0.0,85,1,DMPC,5,3,2,7,2
L1,869,80,InP,8,0.0,85,2,DMPC,5,3,2,11,0
F10,872,83,Mito,8,0.0,185,0,DOPC,5,3,2,5,9
L12,876,87,Mito,8,0.625,185,0,DOPC,5,3,2,11,11
N14,877,88,Mito,8,0.0,185,1,DOPC,5,3,2,13,13
I14,878,89,Mito,14,0.0,135,0,DOPC,5,3,2,8,13
N10,883,94,Mol,8,0.625,135,0,DOPC,5,3,2,13,9
B13,884,95,Mol,8,0.0,135,1,DOPC,5,3,2,1,12
M2,885,96,Mol,14,0.0,135,0,DOPC,5,3,2,12,1
A12,887,98,Mol,14,0.0,185,0,DOPC,5,3,2,0,11
A9,897,108,MtlA,8,0.0,85,2,DMPC,5,3,2,0,8
N1,900,111,MtlA,14,0.0,85,2,DMPC,5,3,2,13,0
P9,901,112,MtlA,8,0.0,85,1,DMPC,5,3,2,15,8
G15,905,116,MtlA,20,0.0,135,2,DMPC,5,3,2,6,14
C21,944,155,B2AR,8,0.0,135,0,no_lipo,5,0,2,2,20
H22,947,158,B2AR,20,0.0,185,0,no_lipo,5,0,2,7,21
A21,958,169,CD47,8,0.0,185,0,no_lipo,5,0,2,0,20
P21,960,171,CD47,14,0.0,185,0,no_lipo,5,0,2,15,20
J3,961,172,CD47,8,0.625,185,0,no_lipo,5,0,2,9,2
G22,962,173,CD47,8,0.625,135,0,no_lipo,5,0,2,6,21
H14,964,175,CD47,20,0.0,185,0,no_lipo,5,0,2,7,13
I8,965,176,CaM,8,0.0,185,0,no_lipo,5,0,2,8,7
C1,967,178,CaM,14,0.0,185,2,no_lipo,5,0,2,2,0
L18,969,180,CaM,8,0.625,135,0,no_lipo,5,0,2,11,17
F2,971,182,CaM,14,0.0,185,0,no_lipo,5,0,2,5,1
M16,983,194,Glut,14,0.0,135,2,no_lipo,5,0,2,12,15
G10,984,195,Glut,8,0.0,185,0,no_lipo,5,0,2,6,9
P10,985,196,Glut,8,0.0,135,2,no_lipo,5,0,2,15,9
