well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
J21,369.0,129,85.0,no_lipo,14.0,2.0,1.25,3,AuxTI,5,2,9,20
C11,371.0,131,85.0,no_lipo,20.0,1.0,1.25,3,AuxTI,5,2,2,10
D19,372.0,132,185.0,no_lipo,8.0,0.0,1.25,3,AuxTI,5,2,3,18
I10,373.0,133,185.0,no_lipo,8.0,2.0,0.0,3,AuxTI,5,2,8,9
G17,375.0,135,185.0,no_lipo,14.0,2.0,1.25,3,AuxTI,5,2,6,16
C9,377.0,137,185.0,no_lipo,20.0,1.0,1.25,3,AuxTI,5,2,2,8
D21,379.0,139,185.0,no_lipo,8.0,2.0,1.25,3,AuxTI,5,2,3,20
P2,384.0,144,85.0,DOPC,8.0,0.0,0.0,3,Beta,5,2,15,1
M22,386.0,146,85.0,DOPC,14.0,0.0,1.25,3,Beta,5,2,12,21
D5,387.0,147,85.0,DOPC,14.0,2.0,0.0,3,Beta,5,2,3,4
F4,390.0,150,85.0,DMPC,8.0,0.0,1.25,3,Beta,5,2,5,3
P4,392.0,152,85.0,DMPC,14.0,1.0,0.0,3,Beta,5,2,15,3
P14,393.0,153,85.0,DMPC,14.0,2.0,1.25,3,Beta,5,2,15,13
C8,394.0,154,85.0,DMPC,20.0,0.0,0.0,3,Beta,5,2,2,7
L7,395.0,155,85.0,DMPC,20.0,1.0,1.25,3,Beta,5,2,11,6
O9,400.0,160,185.0,DOPC,20.0,0.0,0.0,3,Beta,5,2,14,8
J3,401.0,161,185.0,DOPC,20.0,1.0,1.25,3,Beta,5,2,9,2
G14,402.0,162,185.0,DMPC,8.0,1.0,0.0,3,Beta,5,2,6,13
N16,404.0,164,185.0,DMPC,14.0,0.0,0.0,3,Beta,5,2,13,15
E24,407.0,167,185.0,DMPC,20.0,2.0,0.0,3,Beta,5,2,4,23
I12,408.0,168,85.0,no_lipo,8.0,0.0,0.0,3,Beta,5,2,8,11
C7,409.0,169,85.0,no_lipo,8.0,1.0,1.25,3,Beta,5,2,2,6
O3,410.0,170,85.0,no_lipo,14.0,0.0,1.25,3,Beta,5,2,14,2
G15,411.0,171,85.0,no_lipo,14.0,2.0,0.0,3,Beta,5,2,6,14
M19,416.0,176,85.0,no_lipo,14.0,1.0,0.0,3,Beta,5,2,12,18
O7,417.0,177,85.0,no_lipo,14.0,2.0,1.25,3,Beta,5,2,14,6
D7,422.0,182,185.0,no_lipo,14.0,1.0,0.0,3,Beta,5,2,3,6
P5,423.0,183,185.0,no_lipo,14.0,2.0,1.25,3,Beta,5,2,15,4
B11,425.0,185,185.0,no_lipo,20.0,1.0,1.25,3,Beta,5,2,1,10
E18,427.0,187,185.0,no_lipo,8.0,2.0,1.25,3,Beta,5,2,4,17
A20,429.0,189,185.0,no_lipo,14.0,1.0,1.25,3,Beta,5,2,0,19
P21,430.0,190,185.0,no_lipo,20.0,0.0,1.25,3,Beta,5,2,15,20
J22,431.0,191,185.0,no_lipo,20.0,2.0,0.0,3,Beta,5,2,9,21
H19,433.0,193,85.0,DOPC,8.0,1.0,1.25,3,Blank,5,2,7,18
J5,434.0,194,85.0,DOPC,14.0,0.0,1.25,3,Blank,5,2,9,4
F20,435.0,195,85.0,DOPC,14.0,2.0,0.0,3,Blank,5,2,5,19
G2,436.0,196,85.0,DOPC,20.0,1.0,0.0,3,Blank,5,2,6,1
M13,439.0,199,85.0,DMPC,8.0,2.0,0.0,3,Blank,5,2,12,12
F1,440.0,200,85.0,DMPC,14.0,1.0,0.0,3,Blank,5,2,5,0
G7,442.0,202,85.0,DMPC,20.0,0.0,0.0,3,Blank,5,2,6,6
B13,443.0,203,85.0,DMPC,20.0,1.0,1.25,3,Blank,5,2,1,12
H8,447.0,207,185.0,DOPC,14.0,2.0,1.25,3,Blank,5,2,7,7
H24,449.0,209,185.0,DOPC,20.0,1.0,1.25,3,Blank,5,2,7,23
B8,450.0,210,185.0,DMPC,8.0,1.0,0.0,3,Blank,5,2,1,7
H4,451.0,211,185.0,DMPC,8.0,2.0,1.25,3,Blank,5,2,7,3
