reagent,well_name,row,col,row_zero_based,col_zero_based,droplets_print
no_lipo,A4,1,4,0,3,4
no_lipo,A18,1,18,0,17,4
no_lipo,B1,2,1,1,0,4
no_lipo,B5,2,5,1,4,4
no_lipo,B7,2,7,1,6,4
no_lipo,B8,2,8,1,7,4
no_lipo,B18,2,18,1,17,4
no_lipo,C3,3,3,2,2,4
no_lipo,C7,3,7,2,6,4
no_lipo,C9,3,9,2,8,4
no_lipo,D3,4,3,3,2,4
no_lipo,D4,4,4,3,3,4
no_lipo,D8,4,8,3,7,4
no_lipo,D9,4,9,3,8,4
no_lipo,D19,4,19,3,18,4
no_lipo,D20,4,20,3,19,4
no_lipo,E2,5,2,4,1,4
no_lipo,E6,5,6,4,5,4
no_lipo,E10,5,10,4,9,4
no_lipo,E24,5,24,4,23,4
no_lipo,F3,6,3,5,2,4
no_lipo,F5,6,5,5,4,4
no_lipo,F11,6,11,5,10,4
no_lipo,F20,6,20,5,19,4
no_lipo,G2,7,2,6,1,4
no_lipo,G8,7,8,6,7,4
no_lipo,G10,7,10,6,9,4
no_lipo,G15,7,15,6,14,4
no_lipo,G17,7,17,6,16,4
no_lipo,G20,7,20,6,19,4
no_lipo,G23,7,23,6,22,4
no_lipo,G24,7,24,6,23,4
no_lipo,H5,8,5,7,4,4
no_lipo,H9,8,9,7,8,4
no_lipo,I2,9,2,8,1,4
no_lipo,I8,9,8,8,7,4
no_lipo,I15,9,15,8,14,4
no_lipo,I22,9,22,8,21,4
no_lipo,J1,10,1,9,0,4
no_lipo,J2,10,2,9,1,4
no_lipo,J5,10,5,9,4,4
no_lipo,J17,10,17,9,16,4
no_lipo,J20,10,20,9,19,4
no_lipo,K8,11,8,10,7,4
no_lipo,K11,11,11,10,10,4
no_lipo,K12,11,12,10,11,4
no_lipo,K20,11,20,10,19,4
no_lipo,K22,11,22,10,21,4
no_lipo,M3,13,3,12,2,4
no_lipo,M4,13,4,12,3,4
no_lipo,M12,13,12,12,11,4
no_lipo,M22,13,22,12,21,4
no_lipo,M23,13,23,12,22,4
no_lipo,N14,14,14,13,13,4
no_lipo,N15,14,15,13,14,4
no_lipo,N18,14,18,13,17,4
no_lipo,N19,14,19,13,18,4
no_lipo,N21,14,21,13,20,4
no_lipo,N22,14,22,13,21,4
no_lipo,O6,15,6,14,5,4
water,A1,1,1,0,0,2
water,A4,1,4,0,3,2
water,A15,1,15,0,14,2
water,A16,1,16,0,15,2
water,A19,1,19,0,18,2
water,A23,1,23,0,22,2
water,B4,2,4,1,3,2
water,B5,2,5,1,4,2
water,B7,2,7,1,6,2
water,B8,2,8,1,7,2
water,B13,2,13,1,12,2
water,B18,2,18,1,17,2
water,B21,2,21,1,20,2
water,C3,3,3,2,2,2
water,C6,3,6,2,5,2
water,C7,3,7,2,6,2
water,C9,3,9,2,8,2
water,C10,3,10,2,9,2
water,C14,3,14,2,13,2
water,C18,3,18,2,17,2
water,C23,3,23,2,22,2
water,D3,4,3,3,2,2
water,D4,4,4,3,3,2
water,D5,4,5,3,4,2
water,D9,4,9,3,8,2
water,D19,4,19,3,18,2
water,D20,4,20,3,19,2
water,E2,5,2,4,1,2
water,E10,5,10,4,9,2
water,E20,5,20,4,19,2
water,E24,5,24,4,23,2
water,F20,6,20,5,19,2
water,G7,7,7,6,6,2
water,G8,7,8,6,7,2
water,G10,7,10,6,9,2
water,G11,7,11,6,10,2
water,G15,7,15,6,14,2
water,G17,7,17,6,16,2
water,G23,7,23,6,22,2
water,G24,7,24,6,23,2
water,H2,8,2,7,1,2
water,H4,8,4,7,3,2
water,H5,8,5,7,4,2
water,H8,8,8,7,7,2
water,H16,8,16,7,15,2
water,I1,9,1,8,0,2
water,I3,9,3,8,2,2
water,I12,9,12,8,11,2
water,I15,9,15,8,14,2
water,I16,9,16,8,15,2
water,J2,10,2,9,1,2
water,J3,10,3,9,2,2
water,J5,10,5,9,4,2
water,J17,10,17,9,16,2
water,J20,10,20,9,19,2
water,K4,11,4,10,3,2
water,K12,11,12,10,11,2
water,K19,11,19,10,18,2
water,K20,11,20,10,19,2
water,K22,11,22,10,21,2
water,L23,12,23,11,22,2
water,M3,13,3,12,2,2
water,M4,13,4,12,3,2
water,M11,13,11,12,10,2
water,M16,13,16,12,15,2
water,M20,13,20,12,19,2
water,M24,13,24,12,23,2
water,N2,14,2,13,1,2
water,N13,14,13,13,12,2
water,N14,14,14,13,13,2
water,N18,14,18,13,17,2
water,N19,14,19,13,18,2
water,N20,14,20,13,19,2
water,N21,14,21,13,20,2
water,N22,14,22,13,21,2
water,O1,15,1,14,0,2
water,O6,15,6,14,5,2
water,O7,15,7,14,6,2
water,O16,15,16,14,15,2
water,O17,15,17,14,16,2
