well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,Liposome_conc,DNA_name,DNA_conc,plate,row,col
G6,233,17,85.0,no_lipo,20.0,0.0,3,TFR1,5,1,6,5
A3,234,18,185.0,no_lipo,8.0,1.0,3,TFR1,5,1,0,2
E5,235,19,185.0,no_lipo,14.0,2.0,3,TFR1,5,1,4,4
B2,236,20,185.0,no_lipo,20.0,0.0,3,TFR1,5,1,1,1
D4,237,21,185.0,no_lipo,8.0,2.0,3,TFR1,5,1,3,3
H1,238,22,185.0,no_lipo,14.0,0.0,3,TFR1,5,1,7,0
P6,239,23,185.0,no_lipo,20.0,1.0,3,TFR1,5,1,15,5
F4,240,24,85.0,DOPC,8.0,0.0,3,CD151,5,1,5,3
J3,241,25,85.0,DOPC,14.0,1.0,3,CD151,5,1,9,2
P13,242,26,85.0,DOPC,20.0,2.0,3,CD151,5,1,15,12
D17,243,27,85.0,DMPC,8.0,1.0,3,CD151,5,1,3,16
M14,244,28,85.0,DMPC,14.0,2.0,3,CD151,5,1,12,13
M13,245,29,85.0,DMPC,20.0,0.0,3,CD151,5,1,12,12
K13,246,30,185.0,DOPC,8.0,1.0,3,CD151,5,1,10,12
D2,247,31,185.0,DOPC,14.0,2.0,3,CD151,5,1,3,1
O18,248,32,185.0,DOPC,20.0,0.0,3,CD151,5,1,14,17
C5,249,33,185.0,DMPC,8.0,2.0,3,CD151,5,1,2,4
L1,250,34,185.0,DMPC,14.0,0.0,3,CD151,5,1,11,0
M9,251,35,185.0,DMPC,20.0,1.0,3,CD151,5,1,12,8
G9,252,36,85.0,no_lipo,8.0,0.0,3,CD151,5,1,6,8
E18,253,37,85.0,no_lipo,14.0,1.0,3,CD151,5,1,4,17
D11,254,38,85.0,no_lipo,20.0,2.0,3,CD151,5,1,3,10
A8,255,39,85.0,no_lipo,8.0,1.0,3,CD151,5,1,0,7
A6,256,40,85.0,no_lipo,14.0,2.0,3,CD151,5,1,0,5
I16,257,41,85.0,no_lipo,20.0,0.0,3,CD151,5,1,8,15
